_full_city,18-24,25-34,35-44,45-54,55-64,65 or over,under 18
"Los Angeles, CA, United States",83704.71049418417,115302.48003325716,154225.7595606535,150199.08606133095,117797.22658294086,146520.14652014652,
"Louisville, KY, United States",47337.278106508886,103804.93179765156,106726.46584185048,120388.64981172675,138274.1617357002,,
"Madison, WI, United States",109796.00110974326,121525.90004852014,126214.14083565991,125701.04131676184,91077.14701601164,136335.51673944687,
"Memphis, TN, United States",38277.51196172249,101127.13602187287,109322.07524157989,142477.40563530035,71493.88623072834,,
"Miami, FL, United States",,111521.8584232669,138604.3533930858,131344.43021766967,138711.05420401198,,
"Milwaukee, WI, United States",51975.3086419753,97100.05742176285,97488.29973754995,98853.61552028218,108641.97530864197,135802.46913580247,
"Minneapolis, MN, United States",68987.84965813004,92433.1918547342,110289.0853894659,130014.83253588517,125811.44781144781,,
"Mobile, AL, United States",69637.88300835656,76601.67130919221,143918.29155060355,118384.40111420614,98189.41504178273,,
"Nashville, TN, United States",76282.94036061027,89783.45789369127,141031.15042920868,140657.10018137202,99721.68284789643,65533.98058252427,
"New Orleans, LA, United States",56142.09827357239,76918.99070385126,106460.43277868918,167261.620185923,225763.6122177955,,
"New York, NY, United States",72193.96428571429,109274.01630434782,133213.8354978355,122912.85416666667,132637.64705882352,111500.0,
"Oakland, CA, United States",86495.53571428571,115791.69922468699,116678.56392348839,139088.30041450544,97656.25,132812.5,
"Oklahoma City, OK, United States",56945.304437564504,105528.25077399382,125848.21574058986,123779.25696594428,86687.306501548,,
"Olympia, WA, United States",,117931.30474873213,125464.96081143385,117289.07330567081,141078.83817427384,,
"Omaha, NE, United States",69518.30985915492,89948.2276423778,111217.21944570649,128209.25553319919,97183.0985915493,110721.12676056338,
"Orlando, FL, United States",56945.24495677233,86997.31293093607,160738.72826996373,220100.86455331408,135240.83985179086,,
"Philadelphia, PA, United States",61300.744486585194,98956.21394883931,119004.0814741807,153007.7960387695,121271.24596151145,106826.80151706701,
"Phoenix, AZ, United States",94265.36731634181,104799.39742532426,151699.1978926728,157761.7955728018,156294.1511952957,,
"Pittsburgh, PA, United States",58779.79924717691,94888.4171808666,103586.38726392803,130912.79799247177,127681.58371671545,,
"Portland, OR, United States",97623.88818297331,103888.61745296553,128828.05018638978,145147.6175924903,153005.52731893264,,
"Queens, NY, United States",,78991.76136363638,,,,,
"Raleigh, NC, United States",81976.50663942799,107031.6853932584,142465.2142670499,153492.60916331664,113061.79775280897,,
"Reno, NV, United States",,107863.50148367952,160459.94065281897,261869.4362017804,,,
"Richmond, VA, United States",92606.14934114201,96106.62252177203,125446.07125427038,102688.14055636896,100341.63006344558,109633.96778916544,146705.710102489
"Riverside, CA, United States",,90569.56115779646,103724.08963585434,,,,
"Rochester, NY, United States",66436.43088303284,108122.13429060945,121130.5779771879,115187.54815842195,274618.58529819694,,
"Sacramento, CA, United States",53024.77183833116,104266.8739344098,135662.6069259389,124236.5275966971,99739.24380704042,130378.09647979139,
"Saint Louis, MO, United States",41935.48387096774,91554.25219941349,116494.26819514796,156967.2531769306,52785.92375366569,,
"Saint Paul, MN, United States",49197.236180904525,75507.40544829411,106531.14255487967,91290.82914572865,131909.54773869348,,
"Salem, OR, United States",,82124.75354006093,61706.95664296668,126725.21957340026,,,
"Salt Lake City, UT, United States",,122303.83768279185,129371.13611303155,187665.1673912608,,,
"San Antonio, TX, United States",58097.14309267775,98662.2128075607,156248.74226006193,148026.3157894737,121775.02579979361,193498.4520123839,
"San Diego, CA, United States",62418.95261845387,103764.25542745375,135823.97077481734,151986.5180798005,184538.65336658354,99750.62344139651,
"San Francisco, CA, United States",114864.00751295248,153346.1904195246,167344.73879714165,186937.1601295894,142591.10396570203,214362.27224008576,
"San Jose, CA, United States",133333.33333333334,153010.57445206927,158505.2162849873,204495.54707379136,183460.55979643768,,43664.122137404585
"Santa Barbara, CA, United States",,,,,,96563.15789473684,
"Seattle, WA, United States",96133.33052776287,121675.06573377874,142496.19095987812,147889.68015225,151422.86205414697,,
"Spokane, WA, United States",57142.85714285714,72456.32653061223,91984.3537414966,94058.95691609976,,,
"Tampa, FL, United States",61408.53951975573,92631.85527570453,117571.99633973169,115757.57575757575,113207.54716981131,,
"Tucson, AZ, United States",46428.57142857143,90234.96240601504,123749.50396825398,114260.53113553114,71175.59523809525,178571.42857142858,
"Tulsa, OK, United States",,103723.02816042911,131836.52322321103,120705.22979397782,108082.40887480191,,
"Vancouver, WA, United States",43903.1339031339,167378.91737891737,112432.06223975455,147094.0170940171,94017.09401709402,,
"Washington, DC, United States",63284.034440030155,119660.94109681787,149774.1539718369,147407.63935906117,311078.1990521327,195497.63033175355,139810.42654028436
"Wichita, KS, United States",100069.74566451502,113675.72285870159,149743.45335515548,127373.15875613748,,,
